,id,unit_id,tenant_id,rent_per_month,arrears,start_date,end_date,total_months,annual_rent,valid_lease,rent_paid,lease_status
0,1,1,1,45000.0,0.0,2024-01-01,2025-11-25,23,540000.0,1,1035000.0,ongoing
1,2,2,2,55000.0,5000.0,2023-11-01,2024-10-31,12,660000.0,1,660000.0,expired
2,3,3,3,65000.0,2000.0,2024-02-01,2025-11-25,22,780000.0,1,1430000.0,ongoing
3,4,4,4,30000.0,1000.0,2024-03-01,2025-11-25,21,360000.0,1,630000.0,ongoing
4,5,5,3,70000.0,0.0,2025-02-01,2025-12-31,11,840000.0,1,770000.0,ongoing
5,6,6,5,40000.0,8000.0,2024-06-15,2025-06-14,12,480000.0,1,480000.0,expired
6,7,7,6,52000.0,0.0,2024-08-01,2024-07-31,0,624000.0,0,0.0,invalid
7,8,8,7,38000.0,12000.0,2023-09-01,2025-11-25,27,456000.0,1,1026000.0,ongoing
8,9,9,8,60000.0,0.0,2025-01-01,2025-11-25,11,720000.0,1,660000.0,ongoing
9,10,10,2,45000.0,1000.0,2024-02-01,2024-12-31,11,540000.0,1,495000.0,expired
10,11,11,9,31000.0,0.0,2023-05-01,2024-04-30,12,372000.0,1,372000.0,expired
11,12,12,10,47000.0,3000.0,2024-10-01,2025-09-30,12,564000.0,1,564000.0,expired
