id,unit_id,tenant_id,  rent_per_month  ,arrears,start_date,end_date
1,1,1,"$45,000.00 ",$0.00 ,1/1/2024,11/20/2025
2,2,2,"$55,000.00 ","$5,000.00 ",11/1/2023,10/31/2024
3,3,3,"$65,000.00 ","$2,000.00 ",2/1/2024,11/20/2025
4,4,4,"$30,000.00 ","$1,000.00 ",3/1/2024,11/20/2025
5,5,3,"$70,000.00 ",$0.00 ,2/1/2025,12/31/2025
6,6,5,"$40,000.00 ","$8,000.00 ",6/15/2024,6/14/2025
7,7,6,"$52,000.00 ",$0.00 ,8/1/2024,7/31/2024
8,8,7,"$38,000.00 ","$12,000.00 ",9/1/2023,11/20/2025
9,9,8,"$60,000.00 ",$0.00 ,1/1/2025,11/20/2025
10,10,2,"$45,000.00 ","$1,000.00 ",2/1/2024,12/31/2024
11,11,9,"$31,000.00 ",$0.00 ,5/1/2023,4/30/2024
12,12,10,"$47,000.00 ","$3,000.00 ",10/1/2024,9/30/2025
